"","1: upregulation, -1: downregulation","Symbol","wt-null","IR-mock","I:p53_wt-Treatment_IR","wt-null_for_IR","IR-mock_for_wt","p53_mock_1","p53_mock_2","p53_mock_3","p53_mock_4","p53_IR_1","p53_IR_2","p53_IR_3","p53_IR_4","null_mock_1","null_mock_2","null_IR_1","null_IR_2"
"92","ENSMUSG00000003070","Efna2",0,1,0,0,0,3.29424104394473,3.34988588273121,2.79306415809995,3.29580978174211,3.74274855758822,4.51771043059363,4.02440449931363,3.37397215598637,3.1132559784332,2.52383918795303,5.63095707451774,4.22078818867855
"93","ENSMUSG00000003235","Eif2b5",0,1,0,0,0,10.7944361103183,10.7035053756246,10.7641698219238,10.7602029948208,11.4860010203495,11.5058612111959,11.8419128839721,11.8728809127018,10.8901933330945,10.9903921155836,12.6707966708934,12.258988003948
"94","ENSMUSG00000003279","Dlgap1",0,1,0,0,1,6.66501620499886,6.5757095313832,6.83795731252154,7.45361358595999,8.57802326422359,9.7741415996925,8.10522082256802,7.69873580661786,7.03552616452961,6.95362255377219,8.72487355616481,7.88696111094032
"95","ENSMUSG00000003309","Ap1m2",0,-1,0,0,-1,6.58966070277453,6.78268368934927,6.59716013329191,6.30078567806576,5.00722508954011,5.51080953116093,5.14421864594419,4.7507340199163,6.71180079086325,6.92272160719684,5.02111721248198,5.0213989102911
"96","ENSMUSG00000003341","Atp8b3",0,1,0,0,1,2.56964644989829,2.47220690649874,2.57385971798622,2.50157312065434,4.88160060665504,5.67996572440834,4.90253551835458,4.17057573379666,2.47277657087413,2,5.33785216736012,4.6527858939316
"97","ENSMUSG00000003346","Abhd17a",0,0,-1,-1,0,10.3883198836977,10.1666979535606,10.373799774824,10.3918529151503,9.53177152088998,9.16738911610481,9.99232151370357,10.0955110764069,10.5297537215393,10.5602853820495,11.338949098642,10.5858449211912
"98","ENSMUSG00000003410","Elavl3",0,0,0,0,1,4.58568000291945,5.02923258183731,4.55704367083975,5.66005935927885,6.42290592998873,7.13061886903661,5.19880389697426,5.48384469037403,5.28169825165033,4.53991287647176,4.86072541505023,5.5583932221404
"99","ENSMUSG00000003411","Rab3b",0,0,0,0,1,2.85354303222512,3.23591369365882,3.67728375510432,4.11305092083655,4.32853530688568,5.7826348718932,5.30214384970784,3.37397215598637,3.3511257365101,4.09873011986199,3.94380281537096,4.28240894494505
"100","ENSMUSG00000003418","St8sia6",0,1,-1,0,1,10.5386406583507,10.5109717957821,10.4208280959104,9.78340123432413,11.715603584429,11.7993502661037,11.6323199411951,11.7645761486164,9.67927678028163,9.79775740602238,12.4809390797917,12.042050365085
"101","ENSMUSG00000003420","Fcgrt",0,-1,0,0,-1,10.6041261378819,10.6682359525761,10.6398242412902,10.5240047367572,9.52390915867102,8.9025657474491,9.28962656120285,8.92294103799946,10.5084044436246,10.4678767586262,8.69743107294238,9.36946460846438
"102","ENSMUSG00000003438","Timm50",0,1,-1,-1,0,9.01280289398966,8.80160022466007,8.82159373800248,8.89320393531019,9.63270345227898,9.43112258047549,9.78941228891253,9.94334770748599,8.84800386569384,9.00442152160228,10.9775587182102,10.6383419083328
